meterId,periodCode,value
MTR-1-HT,2025-09,0.00
MTR-2-HT,2025-09,0.00
MTR-3-HT,2025-09,0.00
MTR-4-HT,2025-09,0.00
MTR-5-HT,2025-09,0.00
MTR-6-HT,2025-09,0.00
MTR-7-HT,2025-09,0.163
MTR-8-HT,2025-09,0.00
MTR-9-HT,2025-09,0.00
MTR-10-HT,2025-09,0.025
MTR-11-HT,2025-09,0.00
MTR-12-HT,2025-09,0.00
MTR-13-HT,2025-09,0.00
MTR-14-HT,2025-09,0.23
MTR-15-HT,2025-09,0.907
MTR-16-HT,2025-09,0.00
MTR-17-HT,2025-09,0.00
MTR-18-HT,2025-09,0.00
MTR-19-HT,2025-09,0.00
MTR-20-HT,2025-09,1.829
MTR-21-HT,2025-09,0.043
MTR-22-HT,2025-09,0.709
MTR-23-HT,2025-09,1.071
MTR-24-HT,2025-09,0.00
MTR-25-HT,2025-09,0.00
MTR-26-HT,2025-09,0.00
MTR-27-HT,2025-09,0.00
MTR-28-HT,2025-09,0.00
MTR-29-HT,2025-09,0.449
MTR-30-HT,2025-09,0.00
MTR-31-HT,2025-09,0.00
MTR-32-HT,2025-09,0.00
MTR-33-HT,2025-09,0.00
MTR-34-HT,2025-09,0.00
MTR-35-HT,2025-09,0.00
MTR-SAD 2 Sp com Et1-HT,2025-09,3.18
