meterId,periodCode,value
MTR-1-HW,2025-09,3.377
MTR-2-HW,2025-09,2.397
MTR-3-HW,2025-09,4.068
MTR-4-HW,2025-09,0.153
MTR-5-HW,2025-09,5.716
MTR-6-HW,2025-09,0.561
MTR-7-HW,2025-09,2.478
MTR-8-HW,2025-09,0.838
MTR-9-HW,2025-09,0.325
MTR-10-HW,2025-09,1.46
MTR-11-HW,2025-09,4.024
MTR-12-HW,2025-09,0.00
MTR-13-HW,2025-09,0.00
MTR-14-HW,2025-09,2.943
MTR-15-HW,2025-09,3.365
MTR-16-HW,2025-09,4.078
MTR-17-HW,2025-09,0.00
MTR-18-HW,2025-09,1.316
MTR-19-HW,2025-09,0.00
MTR-20-HW,2025-09,6.564
MTR-21-HW,2025-09,0.955
MTR-22-HW,2025-09,3.758
MTR-23-HW,2025-09,0.91
MTR-24-HW,2025-09,0.498
MTR-25-HW,2025-09,0.00
MTR-26-HW,2025-09,5.005
MTR-27-HW,2025-09,0.106
MTR-28-HW,2025-09,1.32
MTR-29-HW,2025-09,13.78
MTR-30-HW,2025-09,1.977
MTR-31-HW,2025-09,2.354
MTR-32-HW,2025-09,2.564
MTR-33-HW,2025-09,0.709
MTR-34-HW,2025-09,0.00
MTR-35-HW,2025-09,0.00
MTR-SAD 2 Sp com Et1-HW,2025-09,0.941
