meterId,periodCode,value
MTR-1-WT,2025-09,4.122
MTR-2-WT,2025-09,3.137
MTR-3-WT,2025-09,2.29
MTR-4-WT,2025-09,0.238
MTR-5-WT,2025-09,1.919
MTR-6-WT,2025-09,1.802
MTR-7-WT,2025-09,3.009
MTR-8-WT,2025-09,0.959
MTR-9-WT,2025-09,3.011
MTR-10-WT,2025-09,2.90
MTR-11-WT,2025-09,4.111
MTR-12-WT,2025-09,0.00
MTR-13-WT,2025-09,0.00
MTR-14-WT,2025-09,7.939
MTR-15-WT,2025-09,4.00
MTR-16-WT,2025-09,5.375
MTR-17-WT,2025-09,0.985
MTR-18-WT,2025-09,1.454
MTR-19-WT,2025-09,2.459
MTR-20-WT,2025-09,8.248
MTR-21-WT,2025-09,1.173
MTR-22-WT,2025-09,4.48
MTR-23-WT,2025-09,10.773
MTR-24-WT,2025-09,0.624
MTR-25-WT,2025-09,0.00
MTR-26-WT,2025-09,3.665
MTR-27-WT,2025-09,1.889
MTR-28-WT,2025-09,1.012
MTR-29-WT,2025-09,10.238
MTR-30-WT,2025-09,9.896
MTR-31-WT,2025-09,7.57
MTR-32-WT,2025-09,3.078
MTR-33-WT,2025-09,3.869
MTR-34-WT,2025-09,1.968
MTR-35-WT,2025-09,5.703
MTR-SAD 1 Part SPA-WT,2025-09,70.00
MTR-SAD 2 Sp com Et1-WT,2025-09,2.187
